Province,District,Sector,Cell,Village
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Gihanga
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Iterambere
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Izuba
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Nyaburanga
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Nyenyeri
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Ubukorikori
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Ubumwe
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Ubwiyunge
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Umucyo
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Umurabyo
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Umuseke
Umujyi wa Kigali,Nyarugenge,Gitega,Akabahizi,Vugizo
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Akinyambo
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Amayaga
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Gitwa
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Ituze
Umujyi wa Kigali,Nyarugenge,Gitega,Akabeza,Mpazi
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Amahoro
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Impuhwe
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Intsinzi
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Kivumu
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Ubumwe
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Urukundo
Umujyi wa Kigali,Nyarugenge,Gitega,Gacyamo,Ururembo
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Ingenzi
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Sangwa
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umubano
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umucyo
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umuhoza
Umujyi wa Kigali,Nyarugenge,Gitega,Kigarama,Umurava
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Akabugenewe
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Ihuriro
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Isangano
Umujyi wa Kigali,Nyarugenge,Gitega,Kinyange,Isano
