1 Year,1 An
30 Days,30 Jours
7 Days,7 Jours
90 Days,90 Jours
About,A Propos
Acknowledged,Accusée de réception
Action,Action
Actions,Actions
Activate,Activer
Active,actif
Active Projects,Projets Actifs
Activity Log,Historique d'activité
Add a short comment (optional),Ajoutez un court commentaire (facultatif)
All Categories,Toutes les Catégories
All Projects,Tous les Projets
Amended From,Modifié Depuis
An error occurred. Please try again.,Une erreur s'est produite. Veuillez réessayer.
Appeal,Recours
Assignment,Affectation
Attachment,Pièce jointe
Attachments,Pièces jointes
Back,Retour
Bot verification failed,La vérification anti-robot a échoué
By Category,Par Catégorie
By Region,Par Région
By Status,Par Statut
Call the GRM hotline to submit your grievance by phone,Appelez la ligne d'assistance GRM pour soumettre votre plainte par téléphone
Category,Catégorie
Category & Issue Type,Catégorie et Type de Plainte
Category Name,Nom de la Catégorie
Cell,Cellule
Check your status,Vérifiez votre statut
Choose a method to file your complaint,Choisissez une méthode pour déposer votre plainte
Closed,Fermé
Comment,Commentaire
Complaint Submitted Successfully,Plainte Soumise avec Succès
Complaint not found. Please check the tracking code.,Plainte introuvable. Vérifiez le code de suivi.
Complete verification to submit your complaint,Complétez la vérification pour soumettre votre plainte
Confirmed,Confirmé
Contact Information,Coordonnées de Contact
Contact a field officer who can register your complaint on your behalf,Contactez un agent de terrain qui peut enregistrer votre plainte en votre nom
Copy,Copier
Could not load app information. Please try again later.,Impossible de charger les informations de l'application. Veuillez réessayer plus tard.
Dashboard,Tableau de Bord
Department,Département
Describe the Issue,Décrire la Plainte
"Describe what happened, when, and how it affected you...","Décrivez ce qui s'est passé, quand et comment cela vous a affecté..."
Description,Description
District,District
Download APK,Télécharger APK
Download public reports,Télécharger les rapports publics
Draft,Brouillon
Due Date,Date d'Échéance
Email,E-mail
Email Address,Adresse E-mail
Email Template,Modèle d'email
End Date,Date de Fin
Enter the 6-digit code,Saisissez le code à 6 chiffres
Enter the 6-digit code sent to {0},Saisissez le code à 6 chiffres envoyé à {0}
Enter tracking code...,Saisissez le code de suivi...
Enter your tracking code to check the status,Saisissez votre code de suivi pour vérifier l'état
Error,Erreur
Expired,Expiré
Failed to load dashboard data.,Échec du chargement des données du tableau de bord.
Failed to send code,Échec de l'envoi du code
Female,Femme
