 and , na 
(no project loaded),(nta mushinga winjijwe)
(none),(nta na kimwe)
(pick level),(hitamo urwego)
(select),(hitamo)
(skip),(simbuka)
(unset),(nta cyashyizweho)
...and {0} more,...n'ibindi {0}
0 = direct routing,0 = yohereza ako kanya
1,1
1 = redirect via supervisor,1 = kunyuza ku muyobozi
1 Year,Umwaka 1
1 assigned,1 yahawe
1 data row detected,Hari umurongo 1 wabonetse
1 row selected,1 umurongo watoranyijwe
1 selected,1 cyatoranyijwe
1. Template,1. Icyitegererezo
2,2
2. Upload,2. Ohereza
3. Map columns,3. Huza inkingi
30 Days,Iminsi 30
4. Preview & Import,4. Reba mbere & Kohereza
7 Days,Iminsi 7
90 Days,Iminsi 90
A role must have at least one duty assigned.,Inshingano igomba kuba ifite nibura imwe yahawe.
"A template of type ""{0}"" already exists for this project.","Icyitegererezo cy'ubwoko ""{0}"" gisanzwe kiriho kuri uyu mushinga."
Abbrev.,Inshyiramo
Abbreviation,Inshyiramo
Abbreviation is required.,Inshyiramo irakenewe.
Ack Days,Iminsi yo Kwemeza
Acknowledged,Cyemejwe
Acknowledgment Days,Iminsi yo Kwemeza
Acknowledgment Days: how long before the case must be acknowledged. Resolution Days: how long before it must be resolved. Resolution must be >= Acknowledgment.,Iminsi yo Kwemeza: igihe mbere yuko ikibazo cyemezwa. Iminsi yo Gukemura: igihe mbere yuko gikemurwa. Gukemura kugomba kuba >= Kwemeza.
Actions,Ibikorwa
Activate Project,Tangiza Umushinga
Activation blocked,Gutangiza byabujijwe
"Activation is blocked until every region has Intake, Review, and Investigate & Resolve.","Gutangiza birabujijwe kugeza buri karere kafite Kwakira, Kugenzura, no Gushakisha & Gukemura."
Activation pre-flight,Igenzura ryo gutangiza
Active,Birakora
Active Projects,Imishinga Ikora
Add,Ongeraho
Add Age Group,Ongeraho Itsinda ry'Imyaka
Add Category,Ongeraho Icyiciro
Add Citizen Group,Ongeraho Itsinda ry'Abaturage
Add Department,Ongeraho Ishami
Add Level,Ongeraho Urwego
Add Role,Ongeraho Inshingano
Add Status,Ongeraho Imimerere
Add Template,Ongeraho Icyitegererezo
Add Type,Ongeraho Ubwoko
Add User Type,Ongeraho Ubwoko bw'Ukoresha
Add a department in Step 4 first.,Banza wongeremo ishami mu Ntambwe ya 4.
Add a short comment (optional),Ongeraho igitekerezo gito (bidategetswe)
Add a single user,Ongeraho ukoresha umwe
Add or reassign users above before continuing.,Ongera cyangwa ukongere uhe abakoresha hejuru mbere yo gukomeza.
Add user,Ongeraho ukoresha
Adding user…,Birongerwaho ukoresha...
Admin Level,Urwego rwa Admin
Administrative Level,Urwego rw'Ubuyobozi
Administrative Level (optional),Urwego rw'Ubuyobozi (bidategetswe)
Administrative Levels,Inzego z'Ubuyobozi
Administrative Levels are the geographic / organizational hierarchy used to route GRM cases (e.g. National &rarr; Region &rarr; District &rarr; Sector &rarr; Cell).,Inzego z'Ubuyobozi ni uburyo bw'ahantu / imitunganyirize bukoreshwa kohereza ibibazo bya GRM (urugero Igihugu &rarr; Intara &rarr; Akarere &rarr; Umurenge &rarr; Akagari).
Administrative Region,Akarere k'Ubuyobozi
Administrative region,akarere k'ubuyobozi
Age Group,Itsinda ry'Imyaka
Age Group '{0}' already exists for this project.,Itsinda ry'Imyaka '{0}' risanzwe ririho kuri uyu mushinga.
Age Group created.,Itsinda ry'Imyaka ryakozwe.
Age Group deleted.,Itsinda ry'Imyaka ryasibwe.
Age Group is required.,Itsinda ry'Imyaka rirakenewe.
Age Group updated.,Itsinda ry'Imyaka ryavuguruwe.
Age Groups,Amatsinda y'Imyaka
"Age Groups: e.g. ""0-17"", ""18-24"", ""25-44"", ""45-64"", ""65+"". Citizen Groups: tags like ""Indigenous"", ""Smallholder Farmer"", ""Female-headed Household"". Group Type 1 vs 2 lets you split groups into two parallel lists if your form needs it.","Amatsinda y'Imyaka: urugero ""0-17"", ""18-24"", ""25-44"", ""45-64"", ""65+"". Amatsinda y'Abaturage: utubigo nka ""Kavukire"", ""Umuhinzi muto"", ""Urugo ruyobowe n'umugore"". Ubwoko bw'Itsinda 1 cyangwa 2 buguha kubigabanya mu ndorerezi ebyiri."
All Categories,Ibyiciro Byose
All Projects,Imishinga Yose
All levels,Inzego zose
All regions covered,Uturere twose twuzuye
All roles,Inshingano zose
All statuses,Imimerere yose
Allow citizens to rate the resolution of their complaints.,Emerera abaturage gutanga amanota ku gukemurwa kw'ibibazo byabo.
Already Active,Bisanzwe Bikora
An error occurred. Please try again.,Habayeho ikosa. Mwongere mugerageze.
Analyzing {0}…,Birasesengurwa {0}...
Appeal,Ubujurire
Appeal Department,Ishami ry'Ubujurire
Apply,Shyira mu bikorwa
Assigned Role,Inshingano Yahawe
Assigned Role is required.,Inshingano Yahawe irakenewe.
Assignment,Iyinjizwa
Auto Escalate,Yikora Yegukijwe Uwabikoze
Auto Escalation Days,Iminsi yo Kwitwaza Ako Kanya
Auto Escalation Days must be non-negative.,Iminsi yo Kwitwaza Ako Kanya ntigomba kuba mibi.
Auto-create missing administrative regions,Yikore uturere tw'ubuyobozi tubura
Back,Subira inyuma
Bind this role to an admin level (e.g. District). Leave blank for project-wide roles.,Hashe iyi nshingano ku rwego (urugero Akarere). Reka ubusa ku nshingano z'umushinga wose.
Bot verification failed,Kwemeza anti-roboti byanze
Bulk import users,Kwinjiza abakoresha mu rwego rwa rusange
By Category,Hashingiwe ku Cyiciro
By Region,Hashingiwe ku Karere
By Status,Hashingiwe ku Ihagarara
CSV file,Dosiye CSV
CSV/Excel import,Kwinjiza CSV/Excel
Call the GRM hotline to submit your grievance by phone,Hamagara umurongo wa GRM utange ikibazo cyawe kuri telefoni
Cancel,Hagarika
Category,Icyiciro
Category & Issue Type,Icyiciro n'Ubwoko bw'Ikibazo
Category '{0}' already exists for this project.,Icyiciro '{0}' gisanzwe kiriho kuri uyu mushinga.
Category Name,Izina ry'Icyiciro
Category Name is required.,Izina ry'Icyiciro rirakenewe.
Category created.,Icyiciro cyakozwe.
Category deleted.,Icyiciro cyasibwe.
Category name is the record id and can't be changed after creation.,"Izina ry'icyiciro ni kode y'inyandiko, ntirishobora guhindurwa nyuma yo gukorwa."
Category updated.,Icyiciro cyavuguruwe.
Cell,Akagali
Change role,Hindura inshingano
Change status,Hindura imimerere
Check your status,Reba imimerere yawe
Choose a method to file your complaint,Hitamo uburyo bwo gutanga ikirego cyawe
Choose file,Hitamo dosiye
Citizen Group '{0}' already exists for this project.,Itsinda ry'Abaturage '{0}' risanzwe ririho kuri uyu mushinga.
Citizen Group created.,Itsinda ry'Abaturage ryakozwe.
Citizen Group deleted.,Itsinda ry'Abaturage ryasibwe.
Citizen Group updated.,Itsinda ry'Abaturage ryavuguruwe.
Citizen Groups,Amatsinda y'Abaturage
Citizen Lookups are the demographic dropdowns shown on intake forms. They help disaggregate complaint data for reporting.,Ibitabo by'Abaturage ni intoranya z'imibare yerekanwa ku mafishi. Bifasha gutandukanya amakuru y'ibibazo.
Clear,Siba
Clear selection,Siba ibyatoranyijwe
Click to set,Kanda hano ushyireho
Closed,Byarafunzwe
Column '{0}' is mapped to administrative region but has no level type selected.,Inkingi '{0}' yashyizwe ku karere k'ubuyobozi ariko nta bwoko bw'urwego bwatoranyijwe.
"Columns include your project's admin levels (e.g. Province / District / Sector), required user fields (email, first name, last name), and required assignment fields (role).","Inkingi zikubiyemo inzego z'ubuyobozi z'umushinga (urugero Intara / Akarere / Umurenge), imirima y'ukoresha ikenewe (imeyili, izina, izina ry'umuryango), n'imirima yo guha (inshingano)."
"Common pattern: ""New"" (initial, open) → ""In Progress"" (open) → ""Resolved"" (final, open) → ""Closed"" (final). Use ""Rejected"" for cases dismissed during review.","Uburyo busanzwe: ""Gishya"" (intangiriro, gifunguye) → ""Birakorwa"" (gifunguye) → ""Cyakemuwe"" (cya nyuma, gifunguye) → ""Cyafunzwe"" (cya nyuma). Koresha ""Cyanze"" ku bibazo byanzwe."
Complaint Submitted Successfully,Ikibazo Cyoherejwe Neza
Complaint not found. Please check the tracking code.,Ikibazo ntikiboneka. Nyamuneka reba kode yo gukurikirana.
Complete verification to submit your complaint,Uzuza iyemezwa kugira ngo wohereze ikibazo cyawe
Computing impact…,Gusesengura ingaruka...
Confidential,Ibanga
Confidentiality,Ibanga
Confidentiality Level,Urwego rw'Ibanga
Confirm cascade removal,Emeza gukuraho byose
Confirm removal,Emeza ko bikurwaho
Contact Information,Aho Twabageraho
Contact a field officer who can register your complaint on your behalf,Vugana n'umukozi w'ikigo ushobora kwandikisha ikirego cyawe
Continue,Komeza
Continue to preview,Komeza ureba mbere
Continue to upload,Komeza kohereza
Copy,Koporora
Could not analyze the file. {0},Ntibyashobotse gusesengura dosiye. {0}
Could not compute removal impact,Ntibyashobotse kubara ingaruka zo gukuraho
