Active Projects,Miradi Hai,
Acknowledged,Imethibitishwa,
All Categories,Kategoria Zote,
All Projects,Miradi Yote,
Appeal,Rufaa,
By Category,Kwa Kategoria,
By Region,Kwa Mkoa,
By Status,Kwa Hali,
"Call the GRM hotline to submit your grievance by phone","Piga simu ya msaada wa GRM kuwasilisha malalamiko yako kwa simu",
Category,Kategoria,
Check your status,Angalia hali yako,
Choose a method to file your complaint,Chagua njia ya kuwasilisha malalamiko yako,
Closed,Imefungwa,
"Complaint not found. Please check the tracking code.","Malalamiko hayakupatikana. Tafadhali angalia nambari ya ufuatiliaji.",
"Contact a field officer who can register your complaint on your behalf","Wasiliana na afisa wa uwandani ambaye anaweza kusajili malalamiko yako kwa niaba yako",
Dashboard,Dashibodi,
Download public reports,Pakua ripoti za umma,
Enter tracking code...,Ingiza nambari ya ufuatiliaji...,
Enter your tracking code to check the status,Ingiza nambari yako ya ufuatiliaji kuangalia hali,
File a new grievance,Wasilisha malalamiko mapya,
Raise Issue,Wasilisha Tatizo,
Failed to load dashboard data.,Imeshindwa kupakia data ya dashibodi.,
Field Officer,Afisa wa Uwandani,
"File your grievance via web, mobile, or field officer","Wasilisha malalamiko yako kupitia wavuti, simu, au afisa wa uwandani",
GRM Portal,Tovuti ya GRM,
Get a tracking code and monitor progress,Pata nambari ya ufuatiliaji na ufuatilie maendeleo,
Grievance Redress,Urekebishaji wa Malalamiko,
Grievance Redress Mechanism,Utaratibu wa Kushughulikia Malalamiko,
Home,Nyumbani,
How It Works,Jinsi Inavyofanya Kazi,
In Person,Ana kwa Ana,
Loading metrics...,Inapakia takwimu...,
Loading reports...,Inapakia ripoti...,
Mobile App,Programu ya Simu,
No data,Hakuna data,
No projects found,Hakuna miradi iliyopatikana,
No reports available yet,Hakuna ripoti zinazopatikana bado,
Open,Wazi,
Pending,Inasubiri,
Phone Hotline,Simu ya Msaada,
Public Dashboard,Dashibodi ya Umma,
Public Portal,Tovuti ya Umma,
Public Reports,Ripoti za Umma,
"Public reports will appear here once generated.","Ripoti za umma zitaonekana hapa baada ya kutengenezwa.",
Reports,Ripoti,
Resolve,Suluhisha,
Resolved,Imetatuliwa,
Search projects...,Tafuta miradi...,
Searching...,Inatafuta...,
See public statistics,Angalia takwimu za umma,
"Solution proposed, implemented, and verified","Suluhisho lililopendekezwa, kutekelezwa, na kuthibitishwa",
Status,Hali,
Step {0},Hatua {0},
Submit,Wasilisha,
Submit a Grievance,Wasilisha Malalamiko,
"Submit through the GRM mobile application available on Android","Wasilisha kupitia programu ya simu ya GRM inayopatikana kwenye Android",
Submitted,Imewasilishwa,
Total Issues,Jumla ya Malalamiko,
Track,Fuatilia,
Track Complaint,Fuatilia Malalamiko,
Track Your Complaint,Fuatilia Malalamiko Yako,
Tracking Code,Nambari ya Ufuatiliaji,
Tracking Result,Matokeo ya Ufuatiliaji,
View,Angalia,
View Dashboard,Angalia Dashibodi,
View Reports,Angalia Ripoti,
"Visit the nearest GRM office to submit your complaint in person","Tembelea ofisi ya GRM iliyo karibu nawe kuwasilisha malalamiko yako ana kwa ana",
"We are here to help. Track complaints, view statistics, and submit new grievances easily.","Tuko hapa kukusaidia. Fuatilia malalamiko, angalia takwimu, na wasilisha malalamiko mapya kwa urahisi.",
"Web form coming soon. For now, please use one of the methods above.","Fomu ya wavuti inakuja hivi karibuni. Kwa sasa, tafadhali tumia mojawapo ya njia hapo juu.",
An error occurred. Please try again.,Hitilafu imetokea. Tafadhali jaribu tena.,
Back,Rudi,
Bot verification failed,Uthibitishaji wa kuzuia roboti umeshindwa,
Category & Issue Type,Kategoria na Aina ya Tatizo,
Complaint Submitted Successfully,Malalamiko Yamewasilishwa kwa Mafanikio,
Complete verification to submit your complaint,Kamilisha uthibitishaji kuwasilisha malalamiko yako,
Contact Information,Maelezo ya Mawasiliano,
Copy,Nakili,
Describe the Issue,Eleza Tatizo,
"Describe what happened, when, and how it affected you...","Eleza kilichotokea, lini, na jinsi kilivyokugharimu...",
Email,Barua pepe,
Email Address,Anwani ya Barua Pepe,
"Enter the 6-digit code sent to {0}","Ingiza nambari ya tarakimu 6 iliyotumwa kwa {0}",
Failed to send code,Imeshindwa kutuma nambari,
Female,Kike,
How would you like to be contacted?,Je ungependa kuwasiliana nawe vipi?,
I don't know,Sijui,
I want updates,Nataka masasisho,
Issue date cannot be in the future,Tarehe ya tatizo haiwezi kuwa ya siku zijazo,
Issue Type,Aina ya Tatizo,
Male,Kiume,
Minimum 10 characters,Angalau herufi 10,
Next,Endelea,
No categories found,Hakuna kategoria zilizopatikana,
No issue types found,Hakuna aina za tatizo zilizopatikana,
No regions found,Hakuna mikoa iliyopatikana,
Other,Nyingine,
Phone,Simu,
Phone Number,Nambari ya Simu,
"Please describe your complaint in detail","Tafadhali eleza malalamiko yako kwa undani",
Preferred Contact Method,Njia ya Mawasiliano Unayopendelea,
"Provide your contact details to receive status updates","Toa maelezo yako ya mawasiliano kupokea masasisho ya hali",
Resend code,Tuma tena nambari,
"Save your tracking code to check the status of your complaint","Hifadhi nambari yako ya ufuatiliaji kuangalia hali ya malalamiko yako",
Search regions...,Tafuta mikoa...,
Cell,Seli,
District,Wilaya,
Province,Mkoa,
Rwanda,Rwanda,
Sector,Sekta,
Select,Chagua,
Select Project,Chagua Mradi,
Select Region,Chagua Mkoa,
Village,Kijiji,
"Send verification code to {0}","Tuma nambari ya uthibitishaji kwa {0}",
Sending...,Inatuma...,
Stay anonymous,Baki bila kujulikana,
Submit Another Complaint,Wasilisha Malalamiko Mengine,
Submit Complaint,Wasilisha Malalamiko,
"Submission failed. Please try again.","Uwasilishaji umeshindwa. Tafadhali jaribu tena.",
Submitting...,Inawasilisha...,
Verify & Submit,Thibitisha na Uwasilishe,
"We'll use the default project","Tutatumia mradi wa msingi",
"What is your complaint about?","Malalamiko yako yanahusu nini?",
When did this happen?,Hii ilitokea lini?,
"Where did the issue occur?","Tatizo lilitokea wapi?",
"Which project does your complaint relate to?","Malalamiko yako yanahusiana na mradi upi?",
Your Name,Jina Lako,
"Your complaint will be processed without contact information","Malalamiko yako yatashughulikiwa bila maelezo ya mawasiliano",
optional,si lazima,
1 Year,Mwaka 1,
30 Days,Siku 30,
7 Days,Siku 7,
90 Days,Siku 90,
